indicativo,nombre
0201X,"BARCELONA, DRASSANES"
0222X,CALDES DE MONTBUI
0229I,SABADELL AEROPUERTO
0244X,VILASSAR DE DALT
0252D,ARENYS DE MAR
0255B,SANTA SUSANNA
0260X,FOGARS DE MONTCLÚS
0281Y,BLANES
0284X,"CASTELL, PLATJA D'ARO "
0294B,LA BISBAL (D'EMPORDA 3)
0312X,SANT PAU DE SEGÚRIES
0320I,PLANOLES
0321,CAMPDEVANOL
0324A,RIPOLL
0341,TONA (ESCOLA)
0341X,TONA
0349,SANT JULIÀ  DE VILATORTA
0360X,LES PLANES D'HOSTOLES
0363X,SANT HILARI
0367,GIRONA AEROPUERTO
0370B,"GIRONA, ANTIC INSTITUT"
0370E,GIRONA
0372C,PORQUERES
0385X,L'ESTARTIT
0394X,LA VALL DE BIANYA
0411X,CASTELLÓ D'EMPÚRIES
0413A,MAÇANET DE CABRENYS
0421E,ESPOLLA 'LES ALBERES'
0421X,ESPOLLA
0429X,FIGUERES
0433D,CABO DE CREUS
1002Y,"BAZTAN, IRURITA "
1010X,BERA
1012P,IRUN
1014,"HONDARRIBIA, MALKARROA"
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO
1021X,"ERRENTERIA, AÑARBE"
1021Y,ARTICUTZA (AUTOMATICA)
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO"
1025A,SEGURA
1025X,"BEASAIN, ARRIARAN"
1026X,ORDIZIA
1033X,ARESO
1037X,LEGAZPI
1037Y,ZUMARRAGA
1038X,AZPEITIA
1041A,ZUMAIA
1044X,"ARAMAIO, ETXAGUEN"
1048X,ARETXABALETA
1049N,ELGETA
1050J,ELGOIBAR
1052A,MUTRIKU
1055B,LEKEITIO
1056K,FORUA
1057B,MATXITXAKO
1059X,PUNTA GALEA
1060X,AMURRIO
1064L,"OROZKO, IBARRA"
1069Y,"ABADIÑO, URKIOLA"
1074C,AMOREBIETA-ETXANO
1078C,BALMASEDA
1078I,GÜEÑES
1082,BILBAO AEROPUERTO
1083B,SOPUERTA
1083L,CASTRO URDIALES
1089U,RAMALES DE LA VICTORIA
1096X,"BARCENA DE CICERO, TRETO"
1103X,SAN ROQUE DE RIOMIERA
1109,SANTANDER AEROPUERTO
1109X,SANTANDER AEROPUERTO
1110,"SANTANDER, CIUDAD"
1111,SANTANDER
1111X,SANTANDER
1124E,VILLACARRIEDO
1135C,"LOS TOJOS, BÁRCENA MAYOR"
1152C,SAN FELICES DE BUELNA
1154H,"TORRELAVEGA, SIERRAPANDO"
1159,SAN VICENTE DE LA BARQUERA
1167B,"CAMALEÑO, FUENTE DE"
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA"
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA"
1174I,"CILLÓRIGO DE LIÉBANA, TAMA"
1176A,TRESVISO
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA"
1178Y,"POSADA DE VALDEÓN, SOTO "
1179B,CABRALES
1183X,LLANES
1186P,"AMIEVA, PANIZALES"
1199X,"PILOÑA, BARGAÉU"
1203D,COLUNGA
1207U,"GIJÓN, CAMPUS"
1208,GIJÓN
1208A,GIJÓN. LA MERCED
1208H,"GIJÓN, PUERTO"
1210X,CABO PEÑAS
1212E,ASTURIAS AEROPUERTO
1221D,PAJARES-VALGRANDE
1223P,"LENA, RONZÓN"
1226X,"ALLER, FELECHOSA"
1234P,"MIERES, BAIÑA"
1249I,OVIEDO
1249X,OVIEDO
1272B,"TINEO, SOUTU"
1276F,POLA DE SOMIEDO
1279X,"SALAS, CAMUÑO"
1283U,CABO BUSTO
1297E,CERVANTES
1302F,DEGAÑA
1309C,"IBIAS, SAN ANTOLIN"
1327A,"VILLAYÓN, ONETA"
1331A,CASTROPOL
1341B,"TARAMUNDI, OURIA"
1342X,RIBADEO
1344X,MONDOÑEDO
1347T,BURELA
1351,ESTACA DE BARES
1354C,FERROL
1363X,AS PONTES
1387,A CORUÑA
1387D,A CORUÑA BENS
1387E,A CORUÑA AEROPUERTO
1390X,"CARBALLO, DEPURADORA"
1393,CABO VILÁN
1399,VIMIANZO
1400,FISTERRA
1406X,MAZARICOS
1410X,SOBRADO
1428,SANTIAGO DE COMPOSTELA AEROPUERTO
1435C,NOIA
1437O,MONTE IROITE
1442U,BOIRO
1446X,MONTERROSO
1455I,RODEIRO-VILAMAIOR
1465U,LALIN-CRISTIMIL
1466A,SILLEDA
1468X,A ESTRADA
1473A,PADRÓN
1475X,SANTIAGO DE COMPOSTELA
1476R,"ROIS, CASAS DO PORTO"
1477U,VILAGARCIA DE AROUSA
1477V,VILAGARCÍA DE AROUSA
1484,"PONTEVEDRA, INSTITUTO"
1484C,PONTEVEDRA
1486E,ESCUELA NAVAL DE MARÍN
1489A,A LAMA
1495,VIGO AEROPUERTO
1496X,VIGO 
1505,LUGO AEROPUERTO
1518A,LUGO
1521I,O PÁRAMO
1521X,BECERREÁ
1541B,VILLABLINO
1542,PUERTO DE LEITARIEGOS
1549,PONFERRADA
1561I,VEGA DE ESPINAREDA  
1583X,O BARCO DE VALDEORRAS
1631E,A POBRA DE TRIVES
1639X,CHANDREXA DE QUEIXA
1658,FOLGOSO DO COUREL
1679A,MONFORTE DE LEMOS
1690A,OURENSE
1690B,"OURENSE,INSTITUTO"
1696O,BEARIZ
1700X,O CARBALLIÑO
1701X,RIBADAVIA
1706A,ALLARIZ
1719,A CAÑIZA
1723X,"PONTEAREAS, CANEDO   "
1730E,O ROSAL
1735X,XINZO DE LIMIA
1738U,MUIÑOS
1740,"SANTILLANA DEL MAR, ALTAMIRA"
2005Y,"VINUESA, QUINTANAREJO"
2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN"
2030,SORIA
2044B,LUBIA
2048A,MORÓN DE ALMAZÁN
2059B,LA RIBA DE ESCALOTE
2084Y,UCERO
2092,BURGO DE OSMA
2096B,LICERAS
2106B,CORUÑA DEL CONDE
2117D,ARANDA DE DUERO
2135A,FRESNO DE CANTESPINO
2140A,ALDEANUEVA DE SERREZUELA
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ"
2166Y,PEÑAFIEL
2172Y,SARDÓN DE DUERO
2182C,PEDRAZA
2192C,CUÉLLAR
2235U,CERVERA DE PISUERGA
2243A,AGUILAR DE CAMPOO
2276B,VILLAELES DE VALDAVIA
2285B,VILLADIEGO
2290Y,PEDROSA DEL PRÍNCIPE
2296A,ÓLVEGA
2298,PALACIOS DE LA SIERRA
2302N,MONTERRUBIO DE LA DEMANDA
2311Y,VILLAMAYOR DE LOS MONTES
2331,BURGOS AEROPUERTO
2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA"
2374X,CARRIÓN DE LOS CONDES
2400E,AUTILLA DEL PINO
2401,"PALENCIA, OBSERVATORIO"
2401X,PALENCIA
2422,VALLADOLID
2430Y,MUÑOTELLO
2444,ÁVILA
2444C,"ÁVILA, AYUNTAMIENTO"
2453E,GOTARRENDURA
2456B,AREVALO
2462,PUERTO DE NAVACERRADA
2465,SEGOVIA
2465A,"SEGOVIA, INSTITUTO"
2471Y,SAN RAFAEL
2482B,MIGUELAÑEZ
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ"
2503B,"OLMEDO, DEPÓSITO DE AGUA"
2503X,OLMEDO
2507Y,RUEDA
2512Y,RIVILLA DE BARAJAS
2517A,FUENTE EL SOL
2536D,MORALES DEL TORO
2539,VALLADOLID AEROPUERTO
2555B,FUENTESAUCO
2565,CORESES
2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN "
2593D,VILLALÓN DE CAMPOS
2604B,MEDINA DE RIOSECO
2611D,VILLAFÁFILA
2614,ZAMORA
2624C,RIAÑO
2626Y,CUBILLAS DE RUEDA
2630X,PUERTO DE SAN ISIDRO
2661,"LEÓN, VIRGEN DEL CAMINO"
2661B,LEÓN AEROPUERTO
2664B,VALENCIA DE DON JUAN
2701D,"BARRIOS DE LUNA, MIÑERA"
2728B,"QUINTANA DEL CASTILLO, VILLAMECA"
2734D,ASTORGA
2737E,LAGUNAS DE SOMOZA
2742R,BUSTILLO DEL PÁRAMO
2755X,BENAVENTE
2766E,"SANABRIA, ROBLEDA-CERVANTES"
2775X,VILLARDECIERVOS
2777K,SANTIBAÑEZ DE VIDRIALES
2789H,POZUELO DE TABARA
2804F,VILLADEPERA
2811A,NAVARREDONDA DE GREDOS
2828Y,BARCO DE AVILA
2847X,PEDROSILLO DE LOS AIRES   
2863C,PEDRAZA DE ALBA  
2867,SALAMANCA AEROPUERTO
2870,SALAMANCA
2873X,BARBADILLO
2882D,PEÑAUSENDE
2885K,FRESNO DE SAYAGO
2891A,VILLARINO DE LOS AIRES
2914C,BOADILLA FUENTE SAN ESTEBAN
2916A,VITIGUDINO
2918Y,EL MAÍLLO
2926B,BAÑOBÁREZ
2930Y,NAVASFRÍAS
2945A,EL BODÓN BASE AÉREA
2946X,SAELICES EL CHICO
2966D,ALCAÑICES  
2969U,A GUDIÑA
2978X,VERÍN
3013,MOLINA DE ARAGÓN
3021Y,ZAOREJAS
3040Y,BETETA
3044X,CAÑIZARES
3085Y,PASTRANA
3094B,TARANCÓN
3099Y,OCAÑA
3100B,ARANJUEZ
3103,PANTANO EL VADO
3104Y,RASCAFRÍA
3110C,BUITRAGO DEL LOZOYA
3111D,SOMOSIERRA
3125Y,SAN SEBASTIÁN DE LOS REYES
3126Y,"MADRID, EL GOLOSO"
3129,MADRID AEROPUERTO
3130C,SIGÜENZA
3140Y,MANDAYONA
3168A,"GUADALAJARA, INSTITUTO"
3168C,"GUADALAJARA, EL SERRANILLO"
3168D,GUADALAJARA
3170Y,ALCALA DE HENARES
3175,TORREJÓN DE ARDOZ
3182Y,ARGANDA DEL REY
3191E,COLMENAR VIEJO
3194U,"MADRID, CIUDAD UNIVERSITARIA"
3194Y,POZUELO DE ALARCÓN
3195,"MADRID, RETIRO"
3196,"MADRID, CUATRO VIENTOS"
3200,GETAFE
3209Y,BRIHUEGA
3229Y,TIELMES
3245Y,TEMBLEQUE
3254Y,MORA 
3259,"TOLEDO, LORENZANA"
3260B,TOLEDO
3266A,PUERTO ALTO DEL LEÓN
3268C,ALPEDRETE
3298X,SAN PABLO DE LOS MONTES
3305Y,NAVAHERMOSA
3319D,PUERTO DEL PICO
3330Y,ROZAS DE PUERTO REAL
3337U,CEBREROS
3338,ROBLEDO DE CHAVELA
3343Y,VALDEMORILLO
3362Y,CASTILLO DE BAYUELA
3365A,TALAVERA DE LA REINA
3386A,NAVALVILLAR DE IBOR
3391,SOTILLO DE LA ADRADA
3422D,CANDELEDA
3423I,MADRIGAL DE LA VERA
3427Y,OROPESA
3434X,NAVALMORAL DE LA MATA
3436D,GARGANTA LA OLLA
3448X,SERRADILLA
3455X,JARAICEJO
3463X,TRUJILLO
3463Y,TRUJILLO
3469,"CÁCERES, CIUDAD"
3469A,CÁCERES
3475X,CAÑAVERAL
3494U,NUÑOMORAL
3503,GUIJO DE GRANADILLA
3504X,HERVÁS
3512X,MONTEHERMOSO
3514B,TORNAVACAS
3516X,PIORNAL
3519X,PLASENCIA
3526X,CORIA
3531X,TORRECILLA DE LOS ANGELES
3536X,HOYOS
3540X,ZARZA LA MAYOR
3547X,VALVERDE DEL FRESNO
3562X,ALISEDA
3565X,BROZAS
3576X,VALENCIA DE ALCÁNTARA
4007Y,OSSA DE MONTIEL
4051Y,ALCÁZAR DEL REY
4061X,QUINTANAR DE LA ORDEN
4064Y,ALCAZAR DE SAN JUAN
4067,MADRIDEJOS
4070Y,ABIA DE OBISPALIA
4075Y,VILLARES DEL SAZ
4089A,ALBERCA DE ZANCARA
4090Y,SAN CLEMENTE
4091Y,VILLARROBLEDO
4093Y,OSA DE LA VEGA 
4095Y,BELMONTE
4096Y,MUNERA
4103X,TOMELLOSO
4116I,ALMAGRO / FAMET
4121,CIUDAD REAL
4121C,"CIUDAD REAL, INSTITUTO"
4138Y,VILLANUEVA DE LOS INFANTES
4147X,VALDEPEÑAS
4148,VISO DEL MARQUÉS
4193Y,EL ROBLEDO
4195E,"ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS"
4210Y,ABENÓJAR
4220X,PUEBLA DE DON RODRIGO
4236Y,PUERTO REY 
4244X,HERRERA DEL DUQUE
4245X,GUADALUPE
4260,PERALEDA DEL ZAUCEJO
4263X,VALSEQUILLO
4267X,HINOJOSA DEL DUQUE
4300Y,ALMADÉN
4325Y,CASTUERA
4339X,CAÑAMERO
4340,NAVALVILLAR DE PELA
4347X,ZORITA
4358X,DON BENITO
4362X,RETAMAL DE LLERENA
4386B,LLERENA
4395X,VILLAFRANCA DE LOS BARROS
4410X,MÉRIDA
4411C,ALCUESCAR
4427X,ZAFRA
4436Y,ALMENDRALEJO
4452,BADAJOZ AEROPUERTO
4464X,ALBURQUERQUE
4468X,PUEBLA DE OBANDO
4478X,BADAJOZ
4486X,OLIVENZA
4489X,ALCONCHEL
4492F,BARCARROTA
4497X,VILLANUEVA DEL FRESNO
4499X,MONESTERIO
4501X,FUENTE DE CANTOS
4511C,JEREZ DE LOS CABALLEROS
4520X,FREGENAL DE LA SIERRA
4527X,AROCHE
4541X,EL GRANADO
4549Y,AYAMONTE
4554X,CARTAYA
4560Y,ALAJAR
4575X,VALVERDE DEL CAMINO
4584X,EL CERRO DE ANDÉVALO
4589X,"ALOSNO, THARSIS"
4605,HUELVA
4608X,EL CAMPILLO
4622X,VILLARRASA
4642E,"HUELVA, RONDA ESTE"
5000A,"CEUTA, MONTE HACHO"
5000C,CEUTA
5038X,CAZORLA
5038Y,CAZORLA
5047E,BAZA
5051X,HUÉSCAR
5060X,VÉLEZ BLANCO - TOPARES
5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA"
5103F,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA"
5107D,DÓLAR
5164B,BAEZA
5165X,TORRES
5181D,ARROYO DEL OJANCO
5192,VILLARRODRIGO
5210X,VILLANUEVA DEL ARZOBISPO
5246,SANTA ELENA
5270,"JAÉN, INSTITUTO"
5270B,JAÉN
5279X,LINARES
5281X,BAILÉN
5298X,ANDÚJAR
5304Y,PUERTOLLANO
5341C,FUENCALIENTE
5346X,CARDEÑA
5361X,MONTORO
5390Y,VILLANUEVA DE CÓRDOBA
5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO"
5402,CÓRDOBA AEROPUERTO
5406X,ALCALÁ LA REAL
5412X,PRIEGO DE CÓRDOBA
5427X,DOÑA MENCÍA
5429X,"CÓRDOBA, PRÁGDENA"
5459X,ESPIEL
5470,FUENTE PALMERA
5473X,AZUAGA
5511,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA"
5514,GRANADA BASE AÉREA
5514Z,GRANADA BASE AÉREA
5515D,VÍZNAR
5515X,GRANADA-CARTUJA
5516D,SIERRA NEVADA 'RADIOTELESCOPIO'
5530E,GRANADA AEROPUERTO
5582A,LOJA
5598X,BENAMEJÍ
5612B,LA RODA DE ANDALUCÍA
5612X,LORA DE ESTEPA
5624X,AGUILAR DE LA FRONTERA
5625X,LA RAMBLA
5641X,ÉCIJA
5654X,LA PUEBLA DE LOS INFANTES
5656,FUENTES DE ANDALUCÍA
5702X,CARMONA
5704B,CAZALLA DE LA SIERRA
5726X,GUADALCANAL
5733X,ALMADÉN DE LA PLATA
5769X,CALA
5783,SEVILLA AEROPUERTO
5788X,"TOMARES, ZAUDÍN"
5790Y,"SEVILLA, TABLADA"
5796,MORÓN DE LA FRONTERA
5835X,CARRIÓN DE LOS CÉSPEDES
5858X,ALMONTE
5860E,"MOGUER, EL ARENOSILLO"
5891X,LAS CABEZAS DE SAN JUAN
5906X,CHIPIONA
5910,"ROTA, BASE NAVAL"
5911A,GRAZALEMA
5919X,OLVERA
5941X,EL BOSQUE
5950X,SAN JOSÉ DEL VALLE
5960,JEREZ DE LA FRONTERA AEROPUERTO
5972X,SAN FERNANDO
5973,CÁDIZ
5983X,MEDINA SIDONIA
5995B,VEJER DE LA FRONTERA
5996B,BARBATE
5998X,OSUNA
6000A,MELILLA
6001,TARIFA
6032B,RONDA
6032X,RONDA INSTITUTO
6040X,CORTES DE LA FRONTERA
6042I,JIMENA DE LA FRONTERA
6045X,ALPANDEIRE
6050X,GAUCÍN
6056X,SAN ROQUE  
6057X,MANILVA
6058I,ESTEPONA
6069X,BENAHAVÍS
6076X,"MARBELLA, PUERTO"
6083X,MARBELLA
6084X,FUENGIROLA
6088X,TORREMOLINOS
6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES)
6106X,ANTEQUERA
6127X,ÁLORA
6143X,COÍN
6155A,MÁLAGA AEROPUERTO
6156X,"MÁLAGA, CENTRO METEOROLÓGICO"
6172O,"MÁLAGA, PUERTO"
6172X,MÁLAGA
6175X,RINCÓN DE LA VICTORIA
6199X,VÉLEZ-MÁLAGA
6201X,ALGARROBO
6205X,TORROX
6213X,NERJA
6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA"
6258X,LANJARÓN
6267X,SALOBREÑA
6268X,MOTRIL
6268Y,"MOTRIL, PUERTO"
6272X,CASTELL DE FERRO
6277B,ADRA
6281X,VÁLOR
6291B,EL EJIDO
6293X,ROQUETAS DE MAR
6297,ALMERÍA
6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA"
6302A,ABLA
6307C,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA"
6307X,LÁUJAR DE ANDARAX
6312E,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA"
6325O,ALMERÍA AEROPUERTO
6329X,CABO DE GATA
6332X,CARBONERAS
6332Y,CARBONERAS
6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA"
6340X,"GARRUCHA, PUERTO"
6364X,ALBOX
6367B,HUÉRCAL-OVERA
6375X,FUENTE DE PIEDRA
6381,ALBORÁN
7002Y,ÁGUILAS
7007Y,MAZARRÓN
7012C,CARTAGENA
7012D,CARTAGENA
7019X,CARTAGENA/SALINAS CABO PALOS
7020C,MURCIA AEROPUERTO
7023X,FUENTE ÁLAMO DE MURCIA
7026X,TORRE-PACHECO
7031,SAN JAVIER AEROPUERTO
7031X,SAN JAVIER AEROPUERTO
7066Y,"YESTE, EMBALSE FUENSANTA"
7067Y,NERPIO
7072Y,YESTE
7080X,MORATALLA
7096B,HELLÍN
7103Y,TOBARRA
7119B,CARAVACA DE LA CRUZ
7121A,CALASPARRA
7127X,BULLAS
7138B,JUMILLA
7145D,CIEZA
7158X,ARCHENA
7172X,MULA
7178I,MURCIA
7195X,"CARAVACA DE LA CRUZ, LOS ROYOS"
7203A,"LORCA, ZARCILLA DE RAMOS"
7209,LORCA
7211B,PUERTO LUMBRERAS
7218Y,TOTANA
7227X,ALHAMA DE MURCIA
7228,"ALCANTARILLA, BASE AÉREA"
7237E,MOLINA DE SEGURA
7244X,ORIHUELA
7247X,EL PINÓS/PINOSO
7250C,ABANILLA
7261X,ROJALES
7275C,YECLA
8005X,FONTANARS DELS ALFORINS
8008Y,VILLENA
8013X,NOVELDA
8018X,ELX/ELCHE
8019,ALICANTE-ELCHE AEROPUERTO
8025,ALACANT/ALICANTE
8036Y,BENIDORM
8050X,JÁVEA/ XÀBIA
8057C,PEGO
8058X,OLIVA
8058Y,MIRAMAR
8059C,ALCOI/ALCOY
8072Y,BARX
8084Y,PANTANO DE LA TOBA (AUTOMATICA)
8096,CUENCA
8155Y,MOTILLA DEL PALANCAR
8175,ALBACETE BASE AÉREA
8177A,CHINCHILLA
8178D,ALBACETE
8193E,JALANCE
8198Y,ALMANSA
8203O,ZARRA
8210Y,SALVACAÑETE
8245Y,MIRA
8270X,BICORP
8283X,ONTINYENT
8293X,XÀTIVA
8300X,CARCAIXENT
8309X,UTIEL
8325X,POLINYÀ DE XÚQUER
8337X,TURÍS
8354X,ALBARRACÍN
8368U,TERUEL
8376,JABALOYAS
8381X,ADEMUZ
8395X,CHELVA
8409X,LLÍRIA
8414A,VALENCIA AEROPUERTO
8416,VALÈNCIA
8416X,"VALENCIA, UPV"
8416Y,"VALÈNCIA, VIVEROS"
8439X,SEGORBE
8446Y,SAGUNT/SAGUNTO
8458X,CEDRILLAS
8472A,MONTANEJOS
8486X,MOSQUERUELA
8489X,VILLAFRANCA DEL CID/VILAFRANCA
8492X,ATZENETA DEL MAESTRAT
8500A,CASTELLÓ - ALMASSORA
8501,CASTELLÓ DE LA PLANA
8503Y,TORREBLANCA
8520X,LA POBLA DE BENIFASSÀ-FREDES
8523X,VINARÒS
9001D,REINOSA
9001S,ALTO CAMPOO
9012E,SANTA GADEA DE ALFOZ
9016X,"VALDERREDIBLE, CUBILLO DE EBRO"
9019B,"VALDERREDIBLE, POLIENTES   "
9027X,SARGENTES DE LA LORA
9031C,BRIVIESCA
9051,MEDINA DE POMAR
9060X,LALASTRA
9069C,MIRANDA DE EBRO
9073X,"AGURAIN/SALVATIERRA, OPAKUA"
9087,VITORIA AERÓDROMO
9091O,FORONDA-TXOKIZA
9091R,VITORIA-GASTEIZ AEROPUERTO
9111,BELORADO
9115X,VALDEZCARAY
9121X,HARO
9122I,LABASTIDA
9136X,"ANGUIANO, VALVANERA"
9141V,NÁJERA
9145X,LEZA
9145Y,CENICERO
9170,"LOGROÑO, AEROPUERTO"
9171K,LOS ARCOS
9178X,CAMPEZO/KANPEZU
9188,ENCISO
9195C,ASTÚN- LA RACA
